subj_code,trial_number,block,name,prime,probe,congruency,correct_response,response,rt,correct,slow
F3uGoh,1,experimental,vertical_incon_1,fel/fel/fel,le,incongruent,n,e,0.3735318183898926,False,False
F3uGoh,2,experimental,horizontal_incon_1,bal/bal/bal,jobb,incongruent,l,l,0.40032482147216797,True,False
F3uGoh,3,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.4678773880004883,True,False
F3uGoh,4,experimental,horizontal_con_1,bal/bal/bal,bal,congruent,a,a,0.3829386234283447,True,False
F3uGoh,5,experimental,vertical_incon_2,le/le/le,fel,incongruent,e,e,0.5022580623626709,True,False
F3uGoh,6,experimental,horizontal_con_1,bal/bal/bal,bal,congruent,a,a,0.35276222229003906,True,False
F3uGoh,7,experimental,vertical_con_2,fel/fel/fel,fel,congruent,e,e,0.39171814918518066,True,False
F3uGoh,8,experimental,horizontal_con_1,bal/bal/bal,bal,congruent,a,a,0.39992737770080566,True,False
F3uGoh,9,experimental,vertical_con_2,fel/fel/fel,fel,congruent,e,e,0.37985682487487793,True,False
F3uGoh,10,experimental,horizontal_incon_1,bal/bal/bal,jobb,incongruent,l,l,0.5256600379943848,True,False
F3uGoh,11,experimental,vertical_incon_1,fel/fel/fel,le,incongruent,n,n,0.48035311698913574,True,False
F3uGoh,12,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,a,0.5805838108062744,True,False
F3uGoh,13,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.5429842472076416,True,False
F3uGoh,14,experimental,horizontal_con_2,jobb/jobb/jobb,jobb,congruent,l,l,0.35535287857055664,True,False
F3uGoh,15,experimental,vertical_incon_2,le/le/le,fel,incongruent,e,e,0.5341007709503174,True,False
F3uGoh,16,experimental,horizontal_con_2,jobb/jobb/jobb,jobb,congruent,l,l,0.4018094539642334,True,False
F3uGoh,17,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.4654703140258789,True,False
F3uGoh,18,experimental,horizontal_con_1,bal/bal/bal,bal,congruent,a,a,0.4452402591705322,True,False
F3uGoh,19,experimental,vertical_con_2,fel/fel/fel,fel,congruent,e,n,0.4819753170013428,False,False
F3uGoh,20,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,l,0.30194926261901855,False,False
F3uGoh,21,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.4478020668029785,True,False
F3uGoh,22,experimental,horizontal_con_1,bal/bal/bal,bal,congruent,a,a,0.3607470989227295,True,False
F3uGoh,23,experimental,vertical_incon_1,fel/fel/fel,le,incongruent,n,n,0.4860422611236572,True,False
F3uGoh,24,experimental,horizontal_con_2,jobb/jobb/jobb,jobb,congruent,l,l,0.400409460067749,True,False
F3uGoh,25,experimental,vertical_incon_1,fel/fel/fel,le,incongruent,n,n,0.5257904529571533,True,False
F3uGoh,26,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,a,0.6103382110595703,True,False
F3uGoh,27,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.3715815544128418,True,False
F3uGoh,28,experimental,horizontal_con_2,jobb/jobb/jobb,jobb,congruent,l,l,0.3686394691467285,True,False
F3uGoh,29,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.3494539260864258,True,False
F3uGoh,30,experimental,horizontal_incon_1,bal/bal/bal,jobb,incongruent,l,l,0.45935916900634766,True,False
F3uGoh,31,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.3418617248535156,True,False
F3uGoh,32,experimental,horizontal_con_1,bal/bal/bal,bal,congruent,a,a,0.39185619354248047,True,False
F3uGoh,33,experimental,vertical_incon_2,le/le/le,fel,incongruent,e,e,0.4758565425872803,True,False
F3uGoh,34,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,l,0.30875420570373535,False,False
F3uGoh,35,experimental,vertical_incon_1,fel/fel/fel,le,incongruent,n,n,0.4449920654296875,True,False
F3uGoh,36,experimental,horizontal_con_1,bal/bal/bal,bal,congruent,a,a,0.4047820568084717,True,False
F3uGoh,37,experimental,vertical_con_2,fel/fel/fel,fel,congruent,e,e,0.613868236541748,True,False
F3uGoh,38,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,l,0.3602914810180664,False,False
F3uGoh,39,experimental,vertical_incon_2,le/le/le,fel,incongruent,e,n,0.3599824905395508,False,False
F3uGoh,40,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,a,0.47411656379699707,True,False
F3uGoh,41,experimental,vertical_incon_2,le/le/le,fel,incongruent,e,n,0.663421630859375,False,False
F3uGoh,42,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,l,0.33267807960510254,False,False
F3uGoh,43,experimental,vertical_con_1,le/le/le,le,congruent,n,n,0.47762322425842285,True,False
F3uGoh,44,experimental,horizontal_con_2,jobb/jobb/jobb,jobb,congruent,l,l,0.3605923652648926,True,False
F3uGoh,45,experimental,vertical_incon_2,le/le/le,fel,incongruent,e,e,0.45549535751342773,True,False
F3uGoh,46,experimental,horizontal_con_2,jobb/jobb/jobb,jobb,congruent,l,l,0.36263418197631836,True,False
F3uGoh,47,experimental,vertical_incon_1,fel/fel/fel,le,incongruent,n,e,0.3950645923614502,False,False
F3uGoh,48,experimental,horizontal_con_2,jobb/jobb/jobb,jobb,congruent,l,l,0.45288848876953125,True,False
F3uGoh,49,experimental,vertical_con_2,fel/fel/fel,fel,congruent,e,e,0.8867335319519043,True,False
F3uGoh,50,experimental,horizontal_incon_2,jobb/jobb/jobb,bal,incongruent,a,a,0.4934995174407959,True,False
